user,created,karma,submitted
keypress,1459330848.0,89.0,76.0
kfrzcode,1449309203.0,194.0,89.0
khangtoh,1188150246.0,761.0,360.0
khanhkid,1502844641.0,3.0,1.0
khazhoux,1490801405.0,827.0,130.0
khuknows,1460364260.0,45.0,28.0
kikimaru,1472115594.0,38.0,34.0
kikimora,1489466082.0,1.0,3.0
killnine,1316472247.0,281.0,187.0
kilolima,1399438831.0,-3.0,6.0
kimritz1,1512163338.0,1.0,1.0
kingkawn,1223235548.0,1970.0,818.0
kirikiri,1495539571.0,1.0,3.0
kirillkh,1462274972.0,115.0,96.0
kirpekar,1216529686.0,1267.0,475.0
kirvyteo,1236823621.0,38.0,38.0
kjhughes,1239142578.0,8385.0,1216.0
kjullien,1503416609.0,-2.0,11.0
kkireyev,1303232787.0,2.0,2.0
kkirsche,1414986832.0,137.0,112.0
klenwell,1266082171.0,2185.0,374.0
klibertp,1345131252.0,2780.0,1721.0
klinskyc,1370053142.0,139.0,43.0
klokoman,1504269338.0,19.0,9.0
kmflutey,1484117240.0,2.0,2.0
kmicklas,1371134484.0,416.0,368.0
kmtrowbr,1347477397.0,110.0,37.0
knezmish,1479940004.0,2.0,1.0
knodi123,1375893237.0,2697.0,928.0
koancone,1509346439.0,20.0,23.0
koantify,1489190564.0,3.0,3.0
kobigurk,1366283278.0,136.0,61.0
kodablah,1297973116.0,1860.0,808.0
kofejnik,1391674399.0,447.0,239.0
komaromy,1423616891.0,357.0,114.0
konceptz,1336391695.0,167.0,141.0
koonsolo,1282566925.0,990.0,287.0
kordless,1230191724.0,4012.0,2636.0
kovacs_x,1500281876.0,11.0,4.0
kpennell,1292404958.0,172.0,232.0
kpwagner,1442947325.0,57.0,47.0
krackers,1436171119.0,224.0,37.0
kraemate,1200387421.0,156.0,78.0
kraftman,1424008821.0,419.0,116.0
kraig911,1415245110.0,201.0,61.0
krasicki,1459134890.0,5.0,10.0
krausejj,1315424194.0,755.0,112.0
kreeWall,1497898190.0,48.0,47.0
krishoog,1474467635.0,2.0,4.0
krisives,1464877187.0,14.0,75.0
kristaps,1284148885.0,127.0,68.0
krmmalik,1252599539.0,1414.0,843.0
kschults,1247100608.0,408.0,36.0
ksolanki,1298353907.0,139.0,84.0
ksowocki,1251481812.0,448.0,200.0
ktamiola,1468494603.0,305.0,102.0
kuharich,1449032135.0,103.0,58.0
kukabynd,1367469627.0,11.0,32.0
kulu2002,1472208580.0,-1.0,21.0
kumar878,1495134818.0,1.0,1.0
kumarski,1332538952.0,4984.0,1213.0
kumarvvr,1443404252.0,141.0,112.0
kupiakos,1477166049.0,129.0,38.0
kuroguro,1480125342.0,5.0,17.0
kweinber,1332619195.0,246.0,100.0
kwillets,1472665101.0,121.0,64.0
kwisatzh,1363008597.0,64.0,25.0
kyberias,1309028006.0,1585.0,845.0
kylewest,1296775226.0,4.0,5.0
kyriakos,1289822833.0,1922.0,908.0
l3satwik,1476657373.0,1.0,3.0
ladytron,1385787376.0,120.0,69.0
lamontcg,1365109202.0,467.0,237.0
larkeith,1502682427.0,166.0,57.0
larrydag,1310475851.0,668.0,335.0
larrykwg,1504446439.0,106.0,23.0
larsbars,1509464369.0,1.0,1.0
lastofus,1389730895.0,322.0,189.0
latchkey,1255538860.0,1902.0,703.0
latently,1485817788.0,24.0,29.0
lawthemi,1496215515.0,6.0,1.0
leaflink,1448997864.0,2.0,2.0
leandrod,1253326614.0,11.0,46.0
leeoniya,1307654318.0,4133.0,1475.0
leetbulb,1436567368.0,46.0,45.0
leetrout,1327619135.0,737.0,233.0
legohead,1381775261.0,1410.0,422.0
legulere,1337165136.0,3692.0,1451.0
leighmon,1454095439.0,1.0,3.0
leowoo91,1505959310.0,9.0,11.0
leozhang,1375781156.0,6.0,7.0
lessclue,1485336667.0,32.0,18.0
lewis500,1369954764.0,595.0,54.0
lewisinc,1505767593.0,3.0,3.0
lewisjoe,1426100787.0,209.0,80.0
lexiross,1328546950.0,3.0,3.0
lgleason,1288532612.0,531.0,239.0
liangzan,1219997672.0,961.0,110.0
libcoder,1487173235.0,2.0,1.0
liegroup,1475594197.0,1.0,9.0
linorosa,1310760588.0,3.0,4.0
linuxray,1500656650.0,-4.0,2.0
live3dio,1488801956.0,2.0,3.0
ljanssen,1458867887.0,1.0,3.0
lkrubner,1251597006.0,7958.0,1331.0
llimllib,1178332169.0,4547.0,1024.0
lmedinas,1377382615.0,1106.0,186.0
lnnguyen,1494519272.0,6.0,11.0
logotype,1331063877.0,110.0,97.0
lohankin,1396574908.0,89.0,75.0
lokithor,1485867548.0,19.0,4.0
longwave,1347564364.0,1003.0,60.0
lord_jim,1492275592.0,38.0,25.0
lordelph,1215501458.0,440.0,28.0
lordlarm,1296812959.0,893.0,130.0
lordleft,1439490721.0,61.0,14.0
lorenzfx,1345036919.0,621.0,167.0
lorenzhs,1394217603.0,3400.0,1236.0
lorenzop,1416001155.0,84.0,15.0
loser777,1359747813.0,297.0,72.0
losiiiii,1498852121.0,0.0,1.0
lostgame,1296579835.0,504.0,145.0
lostsock,1322608007.0,268.0,127.0
