user,story,comment
jxy,14034426,1
jyw,15148885,1
jzl,13942345,1
jzl,15409376,1
jzl,14403911,1
k3a,15611122,1
k3a,15786703,1
k3a,15756062,1
k3a,15795808,1
k3a,15867918,1
k45,15066729,1
k__,14731181,1
k__,14997799,1
k__,14701460,1
k__,14784900,1
k__,15686653,1
k__,14447682,1
k__,13392620,1
k__,13785277,1
k__,14257744,1
k__,15253781,1
k__,14744068,1
k__,13601451,1
k__,14087381,1
k__,14635013,1
k__,15368353,1
k__,14848786,1
k__,13399095,1
k__,15417019,1
k__,15316175,1
k__,14458648,1
k__,15771168,1
k__,13406119,1
k__,13940014,1
k__,13642662,1
k__,14629533,1
k__,15155833,1
k__,15752022,1
k__,13755673,1
k__,14997941,1
k__,14763802,1
k__,15321015,1
kbd,15694118,1
kbd,15799310,1
kbd,13471543,1
kbd,15328889,1
kbr,14075720,1
kd1,15201152,1
kfk,15756062,1
kfk,14848786,1
kgc,14417758,1
kgc,14002821,1
khc,13471543,1
khc,14043631,1
khc,14023198,1
kin,13716511,1
kin,13541679,1
kin,13601543,1
kin,13593272,1
kin,15196309,1
knv,14066948,1
knz,13831277,1
kod,13301832,1
kol,13406638,1
kps,15324954,1
kps,13498365,1
kr0,13641301,1
krg,15384262,1
krg,15148885,1
ksk,14733829,1
ksk,13414570,1
ksk,15752022,1
ksk,15916121,1
ksk,15890551,1
ksk,15913250,1
ksk,15916121,1
ksk,13817557,1
ksk,15747519,1
ksk,14651287,1
kul,13576236,1
kvh,14051851,1
kvz,15148885,1
lai,13804522,1
lbj,15602538,1
lis,14688684,1
lis,15601729,1
lis,15148885,1
lj3,13520891,1
lj3,13576236,1
lj3,14708350,1
ljf,14786358,1
ljf,14417758,1
ljk,13394900,1
lmm,14393501,1
lmm,13356318,1
lmm,13635230,1
lph,14002821,1
lvh,13389935,1
lxe,13400350,1
lxe,13375543,1
lyk,15291961,1
m4k,14105489,1
m90,15148885,1
mcv,15169188,1
mcv,15862278,1
mcv,15886333,1
mdf,14002821,1
mdf,14990137,1
mef,14976028,1
mey,15256603,1
mey,14028842,1
mfl,13541679,1
mgw,13541679,1
mgw,14023198,1
mhb,15762451,1
mhd,15339983,1
mih,15324954,1
mih,15321850,1
mih,14918911,1
mjn,14178091,1
mjs,14901566,1
mkj,13887295,1
mkj,14542938,1
mkl,13904881,1
mm4,14403911,1
mni,13541679,1
mnx,15448996,1
mod,14182262,1
mod,13881535,1
mod,14718089,1
moe,15031922,1
mrb,15342486,1
mrb,15655840,1
mrb,14655382,1
mrb,15200955,1
mrb,13842130,1
mrb,13713480,1
mrb,15902054,1
msh,14246249,1
mst,14417758,1
msy,14688684,1
mtw,13356318,1
mtw,14246249,1
mtw,13330611,1
mtw,13392885,1
mtw,13682022,1
mv4,15558227,1
mv4,15553205,1
mv4,15558227,1
mwi,15384262,1
mwi,15148885,1
mwi,15601729,1
mzl,15384262,1
mzs,14921018,1
n0w,13700492,1
n72,15686653,1
n_b,14023198,1
n_b,14238005,1
n_t,15453974,1
n_t,15446049,1
nbm,15916121,1
nd7,13752376,1
ndr,15421704,1
nie,13707547,1
nip,13884357,1
nip,15062225,1
njx,13561388,1
nkg,14699397,1
nkw,15862494,1
nla,14029572,1
nlh,14223020,1
nly,15742287,1
nly,14275805,1
nly,15321015,1
nmy,13450143,1
nnd,15173781,1
nnd,14219384,1
nnd,13629593,1
nnd,14947361,1
nnd,15230871,1
nnd,15079619,1
nnd,14806393,1
nnq,15321850,1
nnq,14998429,1
nnq,15657887,1
nom,14309194,1
nom,13399095,1
nom,14259456,1
nom,15230871,1
nsm,15695326,1
nsm,13406638,1
nsp,15824597,1
nsp,15384262,1
nsp,15601729,1
nuc,15384262,1
nym,13478514,1
o2l,14417758,1
ode,13800320,1
ojn,14542938,1
ojr,14723308,1
om2,15073414,1
om2,14560042,1
oon,13804522,1
orf,13769727,1
orf,14223020,1
orf,14170041,1
orf,15342486,1
orf,15280064,1
orf,15591441,1
orn,13755673,1
p1k,14516538,1
p5k,14447682,1
pag,13853150,1
pas,14662373,1
pbw,14351324,1
pcl,15862494,1
pcl,13531707,1
pcl,13531707,1
pdq,14993216,1
pea,13301832,1
pea,13541679,1
peq,14002821,1
pg1,15017126,1
pgl,14744783,1
pgt,13301832,1
phn,13392885,1
phs,13746830,1
pif,14661285,1
pif,13909365,1
pja,14326439,1
pje,14362975,1
pjf,14238005,1
pjg,15601729,1
pjg,15384262,1
pkd,13886626,1
pkd,14043631,1
pkd,13531707,1
plg,14178397,1
plg,14788354,1
plg,13940014,1
plg,13950002,1
plg,13994203,1
plg,15127633,1
plg,15567356,1
plg,13338592,1
plg,15858197,1
pmx,15110850,1
pqs,15234207,1
pvg,14213220,1
pvg,14002821,1
pvg,13729517,1
pvg,13682022,1
pvg,15787023,1
pvh,15824597,1
pwh,14417758,1
pwm,14661285,1
pyb,13860890,1
pyb,13551610,1
pyb,14536410,1
pzh,14338411,1
pzh,13607890,1
q1t,14497295,1
q3k,15775548,1
qaq,13755673,1
qaq,15651058,1
qaq,15651058,1
qaq,13831277,1
qaq,13886885,1
qaq,15651058,1
qaq,15694430,1
qaq,14310617,1
qaq,14066948,1
qaq,13982620,1
qaq,13816627,1
qaq,14930895,1
qaq,13999378,1
qin,14039135,1
qiv,13571847,1
qz_,13660086,1
qz_,13421298,1
r-w,15314006,1
r-w,13406119,1
ra2,13647190,1
rav,15491553,1
rbp,15168394,1
rch,14313797,1
rch,15631565,1
rch,14332006,1
rch,13607359,1
rcv,15384262,1
rcv,14238005,1
rcv,14023198,1
rdl,15485672,1
rdl,13729517,1
rdl,14993216,1
rdl,13718752,1
rdl,15789108,1
rdl,13870199,1
rdl,14094083,1
rdl,13924546,1
rdl,13392620,1
rdl,15310664,1
rdl,14031619,1
rdl,13717321,1
rdl,15892066,1
rgj,14718089,1
ris,14275805,1
ris,13508038,1
ris,15401211,1
ris,14266423,1
ris,14834672,1
rkv,14578807,1
rkv,14256300,1
rl3,13958366,1
rl3,14497295,1
rl3,14673777,1
rl3,13317902,1
rl3,13629593,1
rl3,14643467,1
rl3,13785564,1
rl3,13576236,1
rl3,14063609,1
rl3,13774006,1
rmc,14189392,1
rmc,14662373,1
rmk,15739744,1
rmm,15867918,1
rmm,13682949,1
rmm,14223020,1
rmz,13816627,1
rtx,14754772,1
rtx,14600873,1
rux,13312629,1
rw2,15276833,1
rwz,15446295,1
rzr,14620608,1
s9w,14009963,1
sbt,14152688,1
scj,13707547,1
scj,14859740,1
sev,15278883,1
sg0,15878197,1
sgt,14486657,1
sgt,15633785,1
sgt,15485672,1
sgt,14060846,1
sgt,14834672,1
sgt,15832170,1
sgt,14605342,1
sgt,14536410,1
sgt,15601729,1
sgt,15384262,1
sgt,14002821,1
sgt,14711621,1
sgy,15384262,1
sgy,15384262,1
shk,15824597,1
sho,14346652,1
sjm,13682949,1
sjy,13397145,1
ska,14159085,1
ska,14087381,1
ska,13597949,1
skc,15704376,1
skc,13585104,1
skc,15858197,1
skc,14245354,1
skc,15222240,1
skc,15432720,1
skc,13610146,1
skc,15230871,1
skc,15511285,1
slg,15342486,1
slg,13593814,1
slg,15031922,1
slg,13877156,1
slv,15824597,1
sn9,15771183,1
sn9,14498724,1
sr2,14533116,1
sxp,13437905,1
szx,13541679,1
t0b,13394900,1
t23,15206926,1
tbv,13414570,1
tdk,13682949,1
teh,13886885,1
tgb,13435634,1
tgb,15867918,1
tgb,15054252,1
tgb,15820161,1
tgb,15460851,1
thg,14643712,1
thg,15913250,1
tjr,15089476,1
tlb,15089916,1
tlb,15853374,1
tlb,15381886,1
tlb,15780530,1
tln,14688684,1
tln,15401211,1
tn_,15417019,1
tn_,15558227,1
tn_,15694118,1
tqi,15395946,1
tsm,14463260,1
twp,13541679,1
tzm,15718686,1
tzs,14034426,1
tzs,14836653,1
tzs,15187874,1
tzs,14542938,1
tzs,14902696,1
tzs,14161876,1
tzs,14011793,1
tzs,15316175,1
tzs,13817883,1
tzs,14223020,1
tzs,15127633,1
tzs,13994203,1
tzs,14581273,1
uam,14043631,1
ucy,13394900,1
udp,15400037,1
ue_,15328889,1
ufo,13783307,1
unk,13500346,1
unk,15904265,1
ust,13629728,1
utt,13541162,1
v89,13312629,1
vgt,13668916,1
vgt,13743908,1
vgt,14401399,1
vgt,14469645,1
vii,13421608,1
vii,13649523,1
vkb,13816627,1
vog,13423629,1
vog,13769727,1
vog,13719368,1
vog,14291412,1
vog,15591441,1
vog,13406119,1
w-m,15694926,1
w0m,15739744,1
w0m,15800676,1
wag,15601729,1
wag,15148885,1
wag,14688684,1
wag,15384262,1
wag,15824597,1
wbc,14529376,1
wc-,15824597,1
wc-,14688684,1
wc-,14688684,1
wdb,14447393,1
wdb,15050841,1
wdn,15432720,1
wdn,15291961,1
wjr,15824597,1
wjt,15601729,1
wkz,13990391,1
wll,15441537,1
wmf,14529376,1
wmf,15756684,1
wnm,15602538,1
wvh,14578807,1
wvh,15234207,1
wvh,14811721,1
wvh,14976028,1
wvh,14523523,1
ww2,15893911,1
wyc,15265507,1
wyc,15384396,1
wyc,13541162,1
wyc,14550060,1
wyc,13660086,1
wyc,13729525,1
wyc,13924546,1
wyc,14973424,1
wyc,13648449,1
wyc,15200221,1
x14,15905048,1
xer,13576236,1
xj9,15321015,1
xnx,13981184,1
xnx,13950002,1
xnx,15747519,1
xoa,14476421,1
xoa,15360362,1
xrd,14729400,1
xrd,15741565,1
xrd,13816627,1
xrd,15704730,1
xrd,13816627,1
xtf,15799310,1
xux,14483409,1
yev,14471931,1
z0r,15651510,1
z92,15675582,1
zaf,14046446,1
zaf,15538666,1
zaf,13573702,1
zaf,15904265,1
zaf,13823704,1
zb3,14990137,1
zby,14287235,1
zby,15421704,1
zby,14422785,1
zby,13867590,1
zem,14805265,1
zem,14108797,1
zem,14386394,1
zem,14537747,1
zem,14477851,1
zem,14966002,1
zie,13941011,1
zie,13941011,1
zmb,13541679,1
zo1,14894653,1
zo7,13856443,1
zo7,15820161,1
zo7,13696004,1
zoa,15384262,1
zoa,15148885,1
zoa,15148885,1
zpr,15052691,1
zrg,15401211,1
zxv,14127071,1
0003,14384187,1
010a,13338592,1
010a,13507993,1
010a,13696004,1
013a,14998429,1
0898,15752022,1
0898,14039135,1
0898,15254952,1
0X1A,13559662,1
0max,13361019,1
0x1d,13559581,1
0x1d,13642662,1
0xTJ,14923362,1
0xf8,15089476,1
0xf8,15089476,1
10-6,15893911,1
1331,13301832,1
1945,13537052,1
1rae,14196077,1
2ion,13453189,1
2ion,14997799,1
4714,15655840,1
4WIW,15273228,1
616c,14330932,1
77ko,14108797,1
7ero,14447393,1
AJRF,15187874,1
AJRF,13746830,1
AJRF,15237896,1
AJRF,14401399,1
AJRF,15324954,1
AJRF,13804522,1
AJRF,15210022,1
AJRF,14962634,1
AJRF,14947361,1
AJRF,14605342,1
AJRF,14919845,1
ALee,13973391,1
Andi,13421927,1
Aron,14731181,1
Aron,15228712,1
Aron,14782294,1
Aron,15500836,1
Aron,15092707,1
Aron,14139186,1
Arqu,14552615,1
Arqu,14195664,1
Arzh,14087002,1
Buge,13933696,1
Buge,14394465,1
Buge,15686442,1
Buge,15210022,1
CKFY,13423629,1
CM30,13576236,1
CM30,14218270,1
CM30,15331016,1
CM30,13317902,1
CM30,15257541,1
CM30,13921433,1
CM30,15342486,1
CM30,14218270,1
COil,14039135,1
COil,15500836,1
CPLX,14195664,1
CPLX,15131370,1
CPLX,14048812,1
CrLf,13529213,1
CrLf,13537052,1
Crye,13726274,1
Cub3,13682949,1
Cub3,14766889,1
DC-3,15892066,1
DC-3,15771183,1
DC-3,15694926,1
DocK,13755673,1
Dove,14297289,1
Dove,14560042,1
Dove,14731181,1
Dove,14702676,1
Dove,15031922,1
Dove,15178615,1
Drup,13932806,1
EJTH,15234207,1
EJTH,15234207,1
EJTH,13478514,1
EJTH,13932226,1
EJTH,15031922,1
EJTH,13330611,1
EJTH,13489100,1
EJTH,14223020,1
EJTH,13650818,1
EZ-E,14533116,1
EZ-E,14766889,1
EdiX,13603575,1
Endy,13489100,1
Endy,15169188,1
Endy,15686653,1
Endy,13529213,1
Endy,15278883,1
Endy,13759706,1
Erem,13541679,1
Erem,14023198,1
Esau,13797042,1
Esau,14002386,1
Esau,13629593,1
Esau,13629728,1
Esau,13601451,1
Eyes,13755673,1
FHMS,14942902,1
FRex,14754772,1
FRex,14848786,1
FRex,14884992,1
Fice,13629344,1
Fice,15444607,1
Fox8,14852270,1
FuNe,13648449,1
FuNe,15439967,1
GBiT,14718089,1
GioM,15507871,1
GuiA,14715384,1
GuiA,13830587,1
GuiA,14458955,1
Hasz,15037960,1
Hasz,14656945,1
Hasz,14394465,1
Hasz,15714318,1
Hasz,15676737,1
Heff,13301832,1
IshV,15237896,1
JED3,15824597,1
JED3,14238005,1
JED3,14023198,1
Jach,13981184,1
Jach,13543233,1
Jach,13922419,1
Jach,15543371,1
Jach,15751344,1
Jare,14476421,1
Jare,14417758,1
Jdam,15274339,1
Jdam,15456833,1
Jdam,13356318,1
Jdam,14313797,1
Jdam,15187874,1
Jedd,15222240,1
Jedd,15786802,1
Jemm,14531578,1
JepZ,15637111,1
JepZ,15691435,1
JepZ,14649727,1
JepZ,15421704,1
JepZ,14223020,1
JepZ,14417758,1
